----------------------0----------------------
1	2
	138
1	3
	427
1	4
	231
1	5
	388
1	6
	325
1	7
	355
1	8
	295
1	9
	99
1	10
	134
1	11
	295
1	12
	75
1	13
	286
1	14
	104
1	15
	446
1	16
	125
1	17
	123
1	18
	196
1	19
	169
1	20
	446
1	21
	413
1	22
	333
1	23
	34
1	24
	0
1	25
	266
1	26
	73
1	27
	446
1	28
	90
1	29
	67
1	30
	102
1	31
	295
1	32
	419
1	33
	54
1	34
	0
1	35
	173
1	36
	430
1	37
	138
1	38
	301
1	39
	218
1	40
	0
1	41
	120
1	42
	0
1	43
	446
1	44
	149
1	45
	0
1	46
	0
1	47
	0
1	48
	74
1	49
	132
2	3
	246
2	4
	167
2	5
	201
2	6
	277
2	7
	312
2	8
	112
2	9
	26
2	10
	75
2	11
	118
2	12
	35
2	13
	106
2	14
	59
2	15
	403
2	16
	0
2	17
	251
2	18
	0
2	19
	45
2	20
	302
2	21
	302
2	22
	203
2	23
	98
2	24
	125
2	25
	86
2	26
	212
2	27
	302
2	28
	0
2	29
	0
2	30
	224
2	31
	123
2	32
	222
2	33
	72
2	34
	163
2	35
	125
2	36
	297
2	37
	0
2	38
	258
2	39
	169
2	40
	185
2	41
	57
2	42
	135
2	43
	302
2	44
	67
2	45
	132
2	46
	94
2	47
	149
2	48
	60
2	49
	0
3	4
	0
3	5
	0
3	6
	113
3	7
	164
3	8
	169
3	9
	209
3	10
	0
3	11
	167
3	12
	20
3	13
	136
3	14
	0
3	15
	288
3	16
	191
3	17
	391
3	18
	178
3	19
	152
3	20
	164
3	21
	148
3	22
	22
3	23
	192
3	24
	259
3	25
	92
3	26
	460
3	27
	231
3	28
	120
3	29
	53
3	30
	451
3	31
	103
3	32
	0
3	33
	225
3	34
	444
3	35
	0
3	36
	183
3	37
	289
3	38
	121
3	39
	31
3	40
	418
3	41
	336
3	42
	245
3	43
	152
3	44
	78
3	45
	315
3	46
	121
3	47
	388
3	48
	0
3	49
	268
4	5
	0
4	6
	92
4	7
	92
4	8
	69
4	9
	167
4	10
	0
4	11
	69
4	12
	20
4	13
	69
4	14
	0
4	15
	92
4	16
	167
4	17
	231
4	18
	167
4	19
	130
4	20
	0
4	21
	0
4	22
	0
4	23
	192
4	24
	231
4	25
	69
4	26
	231
4	27
	0
4	28
	120
4	29
	53
4	30
	231
4	31
	69
4	32
	0
4	33
	167
4	34
	231
4	35
	0
4	36
	132
4	37
	167
4	38
	92
4	39
	31
4	40
	231
4	41
	167
4	42
	231
4	43
	0
4	44
	78
4	45
	231
4	46
	121
4	47
	231
4	48
	0
4	49
	167
5	6
	113
5	7
	164
5	8
	128
5	9
	209
5	10
	0
5	11
	128
5	12
	20
5	13
	128
5	14
	0
5	15
	183
5	16
	191
5	17
	388
5	18
	178
5	19
	152
5	20
	58
5	21
	58
5	22
	22
5	23
	192
5	24
	259
5	25
	92
5	26
	388
5	27
	58
5	28
	120
5	29
	53
5	30
	388
5	31
	128
5	32
	0
5	33
	225
5	34
	388
5	35
	0
5	36
	183
5	37
	201
5	38
	121
5	39
	31
5	40
	388
5	41
	201
5	42
	245
5	43
	58
5	44
	78
5	45
	315
5	46
	121
5	47
	388
5	48
	0
5	49
	201
6	7
	0
6	8
	191
6	9
	221
6	10
	61
6	11
	191
6	12
	32
6	13
	191
6	14
	37
6	15
	0
6	16
	216
6	17
	325
6	18
	250
6	19
	185
6	20
	71
6	21
	71
6	22
	102
6	23
	192
6	24
	259
6	25
	191
6	26
	325
6	27
	71
6	28
	120
6	29
	53
6	30
	325
6	31
	191
6	32
	113
6	33
	225
6	34
	325
6	35
	39
6	36
	86
6	37
	277
6	38
	0
6	39
	45
6	40
	325
6	41
	277
6	42
	245
6	43
	71
6	44
	128
6	45
	315
6	46
	121
6	47
	325
6	48
	0
6	49
	277
7	8
	236
7	9
	221
7	10
	61
7	11
	236
7	12
	32
7	13
	236
7	14
	37
7	15
	0
7	16
	216
7	17
	355
7	18
	250
7	19
	185
7	20
	93
7	21
	91
7	22
	130
7	23
	192
7	24
	259
7	25
	206
7	26
	355
7	27
	93
7	28
	120
7	29
	53
7	30
